update,mean_cost,mean_advantage,policy_loss,entropy_loss,capacity_loss,hinge_loss,spread_loss,total_loss,priority_dropped,economy_dropped,val_rl_cost,best_val_cost
76,18889.25,-0.35563740820347195,0.3626629412174225,-13.076562881469727,1.0655303128714877e-07,0.15077878534793854,4.329174995422363,-8.233945846557617,0.0,102.75,,15740.4
77,17590.375,-0.43098688066511803,0.6185088753700256,-14.709179878234863,7.111245281521406e-08,0.06980234384536743,3.6372342109680176,-10.383634567260742,0.0,109.375,,15740.4
78,24855.0,-0.0918302609921961,0.11436264961957932,-12.756280899047852,9.072429918433045e-08,0.05209280550479889,5.8740034103393555,-6.715822219848633,0.0,106.375,,15740.4
79,19785.875,-0.2065089885867295,0.13344550132751465,-12.925787925720215,8.789378114215651e-08,0.08274252712726593,4.795083045959473,-7.914516448974609,0.0,97.125,,15740.4
80,20353.75,-0.37685168086280596,0.20958586037158966,-13.9155855178833,8.075916468897049e-08,0.1242138221859932,4.461297988891602,-9.120487213134766,0.0,109.375,18932.925,15740.4
81,10483.875,1.3144591159186012,-0.910487174987793,-6.440908908843994,7.432713289290405e-08,0.12079837918281555,4.516835689544678,-2.713761806488037,0.0,62.75,,15740.4
82,13213.25,0.15578455540737168,-0.14780133962631226,-9.865129470825195,1.1239202279966776e-07,0.08300811797380447,3.5631959438323975,-6.366726875305176,0.0,87.125,,15740.4
83,15297.375,0.26806120977610276,-0.020164653658866882,-9.432074546813965,8.577847410151662e-08,0.12905584275722504,4.739749431610107,-4.583433628082275,0.0,85.5,,15740.4
84,16851.875,-0.14717051243713047,0.30181819200515747,-12.155787467956543,8.967615627852865e-08,0.07940440624952316,3.647437810897827,-8.127126693725586,0.0,101.0,,15740.4
85,15870.25,0.03048932911735161,0.29681169986724854,-11.609919548034668,6.592256340809399e-08,0.06471800059080124,3.5173428058624268,-7.731046676635742,0.0,94.375,,15740.4
86,20385.75,-0.7924381402748992,0.8238583207130432,-15.3589506149292,1.7264822815832304e-07,0.0955081582069397,3.2986297607421875,-11.14095401763916,0.0,118.75,,15740.4
87,20122.0,0.0023466489139254837,0.09618140757083893,-12.10398006439209,7.4949014106096e-08,0.12468022108078003,5.740506172180176,-6.142611503601074,0.0,96.875,,15740.4
88,25494.375,-0.9497818587700653,1.0122361183166504,-17.24994468688965,1.4084609745168564e-07,0.12916944921016693,5.200675010681152,-10.907864570617676,0.0,131.875,,15740.4
89,16645.5,-0.33236323498483406,0.5358975529670715,-14.716697692871094,8.686276942171389e-08,0.10833463817834854,3.8270206451416016,-10.245445251464844,0.0,117.25,,15740.4
90,21116.875,-0.38155736221316777,0.37966400384902954,-15.41020679473877,1.236404756355114e-07,0.08980178833007812,3.461667537689209,-11.479072570800781,0.0,118.25,17799.925,15740.4
