epoch,train_loss,train_ce,train_weight_pen,train_volume_pen,val_loss,val_weight_pen,val_volume_pen,train_acc,val_acc,priority_acc,lr
163,0.809484,0.763716,3.41844,14.888614,0.799659,3.729684,16.569876,0.7177,0.7242,0.6985,1.382e-05
164,0.810509,0.764949,3.408057,14.815731,0.788907,3.66199,16.281647,0.7182,0.7262,0.7134,1.367e-05
165,0.807689,0.762031,3.420398,14.842934,0.796677,3.842963,16.890478,0.7187,0.7289,0.7165,1.352e-05
166,0.808438,0.762531,3.442744,14.920038,0.802851,3.782962,16.730684,0.7188,0.7254,0.6929,1.337e-05
167,0.806843,0.761163,3.418251,14.853787,0.794608,3.809313,16.537826,0.719,0.7289,0.7068,1.323e-05
168,0.80643,0.760762,3.426699,14.840315,0.782445,3.74045,16.333566,0.7199,0.7318,0.721,1.308e-05
169,0.805008,0.759498,3.421457,14.782511,0.788591,3.718298,16.483189,0.7203,0.7276,0.7153,1.293e-05
170,0.807973,0.762332,3.420941,14.835695,0.796401,3.866226,16.841884,0.7196,0.7312,0.7195,1.279e-05
171,0.806183,0.760688,3.414911,14.783068,0.786364,3.82607,16.657274,0.7193,0.7308,0.7233,1.264e-05
172,0.803738,0.758241,3.419754,14.779036,0.789817,3.786298,16.531538,0.7203,0.7313,0.7219,1.25e-05
173,0.804717,0.759363,3.410518,14.73143,0.783369,3.727789,16.309008,0.7203,0.7302,0.7094,1.235e-05
174,0.806325,0.760779,3.426943,14.791264,0.779365,3.763201,16.397914,0.72,0.7335,0.7224,1.221e-05
175,0.803475,0.757978,3.431521,14.767067,0.79044,3.717094,16.267419,0.7209,0.727,0.7188,1.206e-05
176,0.803829,0.758447,3.417079,14.735702,0.788509,3.852183,16.702108,0.7209,0.7305,0.7165,1.192e-05
177,0.802914,0.75738,3.437478,14.776372,0.781964,3.724283,16.333715,0.7213,0.7312,0.7177,1.177e-05
178,0.803332,0.757916,3.419301,14.747032,0.786886,3.745459,16.371268,0.721,0.7312,0.7179,1.163e-05
179,0.802789,0.757519,3.413504,14.694335,0.777282,3.728466,16.196081,0.721,0.7319,0.7243,1.149e-05
180,0.802562,0.757069,3.440535,14.756627,0.782372,3.712849,16.204488,0.7215,0.7308,0.7236,1.135e-05
181,0.801234,0.756063,3.427081,14.641499,0.78677,3.844235,16.646224,0.7218,0.7322,0.7221,1.12e-05
182,0.801762,0.756369,3.438148,14.71933,0.794482,3.816449,16.572698,0.7223,0.7286,0.7155,1.106e-05
183,0.800119,0.754839,3.431467,14.680407,0.78559,3.685417,16.175512,0.7229,0.7293,0.7226,1.092e-05
184,0.796392,0.751428,3.400562,14.585344,0.780592,3.774294,16.368752,0.7227,0.7322,0.7238,1.078e-05
185,0.799431,0.754166,3.429391,14.676443,0.779413,3.732386,16.186555,0.7234,0.7323,0.7252,1.064e-05
186,0.799997,0.754743,3.424219,14.677386,0.781525,3.788063,16.365077,0.7216,0.7321,0.721,1.05e-05
